OSEBuildingID,Buildingtype,Primarypropertytype,Neighborhood,Propertygfaparking,Propertygfabuilding(S),Largestpropertyusetype,Largestpropertyusetypegfa,Energystarscore,Sourceeui(Kbtu/Sf),Siteenergyuse(Kbtu),Steamuse(Kbtu),Totalghgemissions,Ghgemissionsintensity,Latitude,Longitude,BuiltAge,avg_building,avg_floor,Allpropertynumber
216,Education,K-12 School,SOUTHEAST,0,184125,K-12 School,184125.0,89.0,78.5,8037287.0,0.0,294.12,1.53,47.52383423,-122.2660141,55,184125.0,184125.0,1
217,Education,K-12 School,BALLARD,0,160270,K-12 School,160270.0,79.0,62.4,5674450.0,0.0,212.02,1.27,47.69689628,-122.3778526,56,160270.0,160270.0,1
220,NonResidential,Non-Refrigerated Warehouse,GREATER DUWAMISH,0,234144,Non-Refrigerated Warehouse,234144.0,82.0,46.8,7370743.0,0.0,320.35,1.34,47.55860699,-122.3332277,78,234144.0,234144.0,1
223,NonResidential,Retail Store,DELRIDGE,0,64984,Retail Store,65425.0,76.0,121.1,2721646.0,0.0,32.75,0.34,47.52131741,-122.3668974,49,64984.0,64984.0,1
224,NonResidential,Retail Store,DELRIDGE,0,67745,Retail Store,67782.0,31.0,241.1,9560965.0,0.0,368.63,5.25,47.52131741,-122.3668974,50,67745.0,67745.0,1
225,Education,K-12 School,DELRIDGE,0,367884,K-12 School,367884.0,93.0,81.8,12263687.0,0.0,271.32,0.64,47.52967421,-122.3666556,5,367884.0,367884.0,1
226,Education,K-12 School,DELRIDGE,0,46797,K-12 School,46797.0,86.0,81.0,1911611.0,0.0,62.2,1.25,47.51791397,-122.3706774,57,46797.0,46797.0,1
227,Education,K-12 School,CENTRAL,0,136188,K-12 School,136188.0,67.0,78.6,5436057.0,0.0,178.5,1.24,47.59792434,-122.3039472,52,136188.0,136188.0,1
228,NonResidential,Other,BALLARD,0,56000,Other,56000.0,68.14306878306878,65.0,1755264.0,0.0,53.61,0.89,47.67771413,-122.3962337,42,56000.0,56000.0,1
229,Education,K-12 School,SOUTHEAST,0,67371,K-12 School,67371.0,92.0,77.7,2075833.0,0.0,42.8,0.54,47.54197311,-122.27677917,11,67371.0,67371.0,1
230,NonResidential,"Self-Storage Facility
",SOUTHWEST,0,52088,Self-Storage Facility,52088.0,68.14306878306878,44.4,1186800.0,0.0,39.54,0.72,47.54506084,-122.3773622,46,52088.0,52088.0,1
231,Education,K-12 School,LAKE UNION,0,127776,K-12 School,127776.0,81.0,93.8,4213726.0,0.0,56.96,0.32,47.6572102,-122.3375797,5,127776.0,127776.0,1
232,NonResidential,Hotel,LAKE UNION,30000,93920,Hotel,123920.0,82.0,144.2,8964061.0,0.0,289.43,2.2,47.62970427,-122.3290596,17,123920.0,123920.0,3
233,NonResidential,Other,LAKE UNION,0,58000,Museum,43000.0,68.14306878306878,356.3,7338511.0,0.0,221.62,3.55,47.62759406,-122.3366092,115,58000.0,58000.0,1
234,NonResidential,Non-Refrigerated Warehouse,MAGNOLIA / QUEEN ANNE,0,50292,Non-Refrigerated Warehouse,42345.0,68.14306878306878,41.6,715446.0,0.0,4.99,0.04,47.62651741,-122.340841,89,50292.0,50292.0,4
235,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,54341,153315,Hotel,141591.0,77.0,161.5,10735331.0,0.0,314.26,1.4,47.62754003,-122.3405732,17,207656.0,207656.0,1
237,Education,K-12 School,BALLARD,0,67235,K-12 School,67235.0,85.0,91.8,2364351.0,0.0,44.06,0.54,47.68367156,-122.3729249,16,67235.0,67235.0,1
238,NonResidential,Small- and Mid-Sized Office,NORTHWEST,0,85017,Office,57968.0,40.0,255.1,9146727.0,0.0,166.73,1.61,47.69975953,-122.340249,58,85017.0,85017.0,5
239,Education,K-12 School,SOUTHWEST,0,58118,K-12 School,59014.0,97.0,66.1,1362993.0,0.0,17.86,0.22,47.54026729,-122.3884963,24,58118.0,58118.0,1
241,NonResidential,Hotel,NORTHWEST,0,64893,Hotel,64893.0,73.0,178.5,6056481.0,0.0,206.3,3.01,47.70923419,-122.3323693,47,64893.0,64893.0,1
242,Education,K-12 School,NORTH,0,52792,K-12 School,55480.0,98.0,69.5,1227290.0,0.0,8.56,0.06,47.69820046,-122.321085,26,52792.0,52792.0,1
243,Education,K-12 School,GREATER DUWAMISH,0,70762,K-12 School,70762.0,95.0,54.3,2933003.0,0.0,138.96,1.94,47.53836703,-122.2964274,90,70762.0,70762.0,1
244,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,0,56456,Office,34416.0,83.0,91.5,1527917.0,0.0,26.55,0.38,47.601058,-122.335182,115,56456.0,56456.0,3
247,NonResidential,"Distribution Center
",GREATER DUWAMISH,0,179161,Distribution Center,117476.0,68.14306878306878,165.9,9974370.0,0.0,98.95,0.33,47.57125847,-122.331498,91,179161.0,179161.0,4
248,NonResidential,Non-Refrigerated Warehouse,GREATER DUWAMISH,0,50000,Non-Refrigerated Warehouse,40831.0,68.14306878306878,183.8,4116805.0,0.0,28.7,0.22,47.57125847,-122.331498,50,50000.0,50000.0,4
250,NonResidential,Hotel,GREATER DUWAMISH,14567,153882,Hotel,135006.0,61.0,188.0,13116256.0,0.0,402.03,2.22,47.59271999,-122.3336896,10,168449.0,168449.0,3
257,NonResidential,Non-Refrigerated Warehouse,GREATER DUWAMISH,0,79600,Non-Refrigerated Warehouse,79600.0,55.0,70.5,1786986.0,0.0,12.46,0.06,47.57463912,-122.3560342,99,79600.0,79600.0,1
260,Education,SPS-District K-12,LAKE UNION,0,241066,Not available,0.0,74.0,63.3,7870351.0,0.0,263.53,1.03,47.66006599,-122.3393444,18,241066.0,241066.0,1
263,NonResidential,Other,NORTH,335109,84739,Parking,335109.0,68.14306878306878,298.9,9477865.0,0.0,163.99,0.32,47.7024765,-122.32480621,7,419848.0,419848.0,5
264,NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,39179,71606,Multifamily Housing,58563.0,68.14306878306878,293.5,10608788.0,0.0,91.53,0.43,47.62392426,-122.35764313,13,110785.0,110785.0,5
265,Residential,Mid-Rise Multifamily,DOWNTOWN,0,116947,Multifamily Housing,81740.0,68.14306878306878,171.4,9689634.0,0.0,263.57,2.05,47.61314884,-122.3415521,12,116947.0,116947.0,4
266,Residential,Low-Rise Multifamily,DELRIDGE,0,52134,Multifamily Housing,52134.0,85.0,73.0,1212551.0,0.0,8.45,0.06,47.54423839,-122.376171,8,52134.0,52134.0,1
273,Education,K-12 School,DELRIDGE,0,71714,K-12 School,71714.0,89.0,88.0,2223321.0,0.0,30.27,0.31,47.52560204,-122.3487068,16,71714.0,71714.0,1
